id,"name",code,province_id
1,"Alegría-Dulantzi",01001,1
2,"Amurrio",01002,1
3,"Añana",01049,1
4,"Aramaio",01003,1
5,"Armiñón",01006,1
6,"Arraia-Maeztu",01037,1
7,"Arratzua-Ubarrundia",01008,1
8,"Artziniega",01004,1
9,"Asparrena",01009,1
10,"Ayala/Aiara",01010,1
11,"Baños de Ebro/Mañueta",01011,1
12,"Barrundia",01013,1
13,"Berantevilla",01014,1
14,"Bernedo",01016,1
15,"Campezo/Kanpezu",01017,1
16,"Elburgo/Burgelu",01021,1
17,"Elciego",01022,1
18,"Elvillar/Bilar",01023,1
19,"Erriberagoitia/Ribera Alta",01046,1
20,"Harana/Valle de Arana",01056,1
21,"Iruña Oka/Iruña de Oca",01901,1
22,"Iruraiz-Gauna",01027,1
23,"Kripan",01019,1
24,"Kuartango",01020,1
25,"Labastida/Bastida",01028,1
26,"Lagrán",01030,1
27,"Laguardia",01031,1
28,"Lanciego/Lantziego",01032,1
29,"Lantarón",01902,1
30,"Lapuebla de Labarca",01033,1
31,"Laudio/Llodio",01036,1
32,"Legutio",01058,1
33,"Leza",01034,1
34,"Moreda de Álava/Moreda Araba",01039,1
35,"Navaridas",01041,1
36,"Okondo",01042,1
37,"Oyón-Oion",01043,1
38,"Peñacerrada-Urizaharra",01044,1
39,"Ribera Baja/Erribera Beitia",01047,1
40,"Salvatierra/Agurain",01051,1
41,"Samaniego",01052,1
42,"San Millán/Donemiliaga",01053,1
43,"Urkabustaiz",01054,1
44,"Valdegovía/Gaubea",01055,1
45,"Villabuena de Álava/Eskuernaga",01057,1
46,"Vitoria-Gasteiz",01059,1
47,"Yécora/Iekora",01060,1
48,"Zalduondo",01061,1
49,"Zambrana",01062,1
50,"Zigoitia",01018,1
51,"Zuia",01063,1
52,"Abengibre",02001,2
53,"Alatoz",02002,2
54,"Albacete",02003,2
55,"Albatana",02004,2
56,"Alborea",02005,2
57,"Alcadozo",02006,2
58,"Alcalá del Júcar",02007,2
59,"Alcaraz",02008,2
60,"Almansa",02009,2
61,"Alpera",02010,2
62,"Ayna",02011,2
63,"Balazote",02012,2
64,"Ballestero, El",02014,2
65,"Balsa de Ves",02013,2
66,"Barrax",02015,2
67,"Bienservida",02016,2
68,"Bogarra",02017,2
69,"Bonete",02018,2
70,"Bonillo, El",02019,2
71,"Carcelén",02020,2
72,"Casas de Juan Núñez",02021,2
73,"Casas de Lázaro",02022,2
74,"Casas de Ves",02023,2
75,"Casas-Ibáñez",02024,2
76,"Caudete",02025,2
77,"Cenizate",02026,2
78,"Chinchilla de Monte-Aragón",02029,2
79,"Corral-Rubio",02027,2
80,"Cotillas",02028,2
81,"Elche de la Sierra",02030,2
82,"Férez",02031,2
83,"Fuensanta",02032,2
84,"Fuente-Álamo",02033,2
85,"Fuentealbilla",02034,2
86,"Gineta, La",02035,2
87,"Golosalvo",02036,2
88,"Hellín",02037,2
89,"Herrera, La",02038,2
90,"Higueruela",02039,2
91,"Hoya-Gonzalo",02040,2
92,"Jorquera",02041,2
93,"Letur",02042,2
94,"Lezuza",02043,2
95,"Liétor",02044,2
96,"Madrigueras",02045,2
97,"Mahora",02046,2
98,"Masegoso",02047,2
99,"Minaya",02048,2
100,"Molinicos",02049,2
101,"Montalvos",02050,2
102,"Montealegre del Castillo",02051,2
103,"Motilleja",02052,2
104,"Munera",02053,2
105,"Navas de Jorquera",02054,2
106,"Nerpio",02055,2
