id,"name",code,municipality_id
1,"Alegría-Dulantzi",01001000000,1
2,"Alegría-Dulantzi",01001000100,1
3,"Alegría-Dulantzi",01001000101,1
4,"Egileta",01001000200,1
5,"Egileta",01001000201,1
6,"Amurrio",01002000000,2
7,"Aloria",01002000100,2
8,"Aloria",01002000101,2
9,"Amurrio",01002000200,2
10,"Amurrio",01002000201,2
11,"Artomaña",01002000300,2
12,"Artomaña",01002000301,2
13,"Baranbio",01002000500,2
14,"Baranbio",01002000501,2
15,"Delika",01002000600,2
16,"Delika",01002000601,2
17,"Larrinbe",01002000700,2
18,"Larrinbe",01002000701,2
19,"Lekamaña",01002000800,2
20,"Lekamaña",01002000801,2
21,"Lezama",01002000900,2
22,"Saratxo",01002001100,2
23,"Saratxo",01002001101,2
24,"Tertanga",01002001200,2
25,"Tertanga",01002001201,2
26,"Aramaio",01003000000,4
27,"Arexola",01003000100,4
28,"Azkoaga",01003000200,4
29,"Barajuen",01003000300,4
30,"Etxaguen",01003000400,4
31,"Gantzaga",01003000500,4
32,"Ibarra",01003000600,4
33,"Ibarra",01003000601,4
34,"Oleta",01003000700,4
35,"Oleta",01003000701,4
36,"Untzilla",01003000800,4
37,"Uribarri",01003000900,4
38,"Artziniega",01004000000,8
39,"Artziniega",01004000100,8
40,"Artziniega",01004000101,8
41,"Campijo",01004000200,8
42,"Gordeliz",01004000300,8
43,"Mendieta",01004000400,8
44,"Retes De Tudela/erretes Tudela",01004000500,8
45,"Retes De Tudela/erretes Tudela",01004000501,8
46,"Santa Koloma",01004000600,8
47,"Sojoguti/soxoguti",01004000700,8
48,"Armiñón",01006000000,5
49,"Armiñón",01006000100,5
50,"Armiñón",01006000101,5
51,"Estavillo",01006000200,5
52,"Estavillo",01006000201,5
53,"Lacorzana",01006000300,5
54,"Lacorzana",01006000301,5
55,"Arratzua-Ubarrundia",01008000000,7
56,"Arroiabe",01008000100,7
57,"Arroiabe",01008000101,7
58,"Arzubiaga",01008000200,7
59,"Betolaza",01008000300,7
60,"Betolaza",01008000301,7
61,"Ziriano",01008000400,7
62,"Durana",01008000500,7
63,"Durana",01008000501,7
64,"Landa",01008000600,7
65,"Landa",01008000601,7
66,"Luko",01008000700,7
67,"Luko",01008000701,7
68,"Mendibil",01008000800,7
69,"Mendibil",01008000801,7
70,"Nanclares De Ganboa/langara Ganboa",01008000900,7
71,"Nanclares De Ganboa/langara Ganboa",01008000901,7
72,"Ullivarri-Gamboa",01008001000,7
73,"Ullivarri-Gamboa",01008001001,7
74,"Zurbano/zurbao",01008001100,7
75,"Zurbano/zurbao",01008001101,7
76,"Asparrena",01009000000,9
77,"Albeiz/albéniz",01009000100,9
78,"Albeiz/albéniz",01009000101,9
79,"Ametzaga",01009000200,9
80,"Ametzaga",01009000201,9
81,"Andoin",01009000300,9
82,"Andoin",01009000301,9
83,"Araia",01009000400,9
84,"Araia",01009000401,9
85,"Arriola",01009000500,9
86,"Arriola",01009000501,9
87,"Egino",01009000600,9
88,"Egino",01009000601,9
89,"Gordoa",01009000700,9
90,"Gordoa",01009000701,9
91,"Ibarguren",01009000800,9
92,"Ibarguren",01009000801,9
93,"Ilarduia",01009000900,9
94,"Ilarduia",01009000901,9
95,"Urabain",01009001000,9
96,"Urabain",01009001001,9
97,"Ayala/aiara",01010000000,10
98,"Agiñaga",01010000100,10
99,"Añes",01010000200,10
100,"Beotegi",01010000300,10
101,"Costera/opellora",01010000400,10
102,"Etxegoien",01010000500,10
103,"Erbi",01010000600,10
104,"Izoria",01010000700,10
105,"Izoria",01010000701,10
106,"Lejarzo/lexartzu",01010000800,10
107,"Luxo/lujo",01010000900,10
108,"Luiaondo",01010001000,10
109,"Luiaondo",01010001001,10
110,"Llanteno",01010001100,10
111,"Llanteno",01010001101,10
112,"Madaria",01010001200,10
113,"Maroño",01010001300,10
114,"Menagarai",01010001400,10
115,"Menagarai",01010001401,10
116,"Menoio",01010001500,10
117,"Menoio",01010001501,10
118,"Murga",01010001600,10
